Job Title,Company,Salary,Experience,Location,Skills,Source
Odoo Functional Consultant,Port Cities Vietnam,Thỏa thuận,N/A,Ho Chi Minh,"Odoo, ERP, English",ITViec
Senior/Lead Python Engineer,CODE LEAP,Thỏa thuận,N/A,Ho Chi Minh,"Django, Python, AWS",ITViec
Senior/Lead Data Engineer,Grab (Vietnam) Ltd.,Thỏa thuận,N/A,Ho Chi Minh,"Python, AWS, Scala, Golang, Apache Spark",ITViec
Senior Security Engineer (Application Security),CodeLink,Thỏa thuận,N/A,Ho Chi Minh,"Application Security, Vulnerability Management, DevSecOps",ITViec
"QA Automation Tester (Java, Javascript)",MiTek Vietnam,Thỏa thuận,N/A,Ho Chi Minh,"Automation Test, Python, JavaScript, Robot Framework, Tester",ITViec
"Head of Engineering, Backend, Frontend, DevOps, .NET",TOPPION GROUP,Thỏa thuận,N/A,Ho Chi Minh,"Team Management, DevOps, Docker, Microservices, .Net Core",ITViec
.NET Developer,Simpson Strong-Tie Vietnam,Thỏa thuận,N/A,Ho Chi Minh,".NET, English, .Net Core, C#",ITViec
Senior Full-stack Developer (SAP Hybris),Simpson Strong-Tie Vietnam,Thỏa thuận,N/A,Ho Chi Minh,"Java, Microservices, ReactJS, Spring Boot, SAP",ITViec
AI Engineer,Dirox,Thỏa thuận,N/A,Ho Chi Minh,"AI, Python, Docker, LLM, Generative AI",ITViec
Game Client Developer (Cocos Creator/Unity/C#),RGP Software Processing,Thỏa thuận,N/A,Ho Chi Minh,"Games, Spin, Cocos Creator, Cocos2d-x, C#, Unity",ITViec
Backend Developer (Java/ WebSocket/ Redis/ Kafka),RGP Software Processing,Thỏa thuận,N/A,Ho Chi Minh,"Java, Redis, MySQL, Kafka, Spring",ITViec
Mid/Sr Java Developer (English Required) - Up to 3200$,"Rakuten Fintech Vietnam Co., Ltd.",Thỏa thuận,N/A,Ho Chi Minh,"Java, Unit test, Spring Boot, Spring, SQL, English",ITViec
"AI Developer (Python, C#, Git, JavaScript, Azure)",SAVILLS VIETNAM,Thỏa thuận,N/A,Ho Chi Minh,"AI, Azure, JavaScript, Git, C#, Python",ITViec
"Senior Fullstack Developer (ReactJS, NodeJS)",Template.net,Thỏa thuận,N/A,Ho Chi Minh,"JavaScript, Product Management, Generative AI, NodeJS",ITViec
Senior Machine Learning Engineer (Open for Team Lead),Home Credit Vietnam,Thỏa thuận,N/A,Ho Chi Minh,"Machine Learning, English, NLP, LLM, Python",ITViec
"Junior Power Platform Dev(UI/UX, .NET)(Strong English)",Wilmar CLV (Cambodia Laos Vietnam),Thỏa thuận,N/A,Ho Chi Minh,"UI-UX, HTML, JavaScript, ASP.NET, C#, .NET",ITViec
