Job Title,Company,Salary,Skills,Location
Fullstack Software Engineer,Talosix,Thỏa thuận,,Ho Chi Minh
Mid/ Senior Game developer ( Cocos Creator ),BinarixTech,You'll love it,,Ho Chi Minh
Senior QC Engineer,Vietlink,Thỏa thuận,,Ho Chi Minh
.NET Developer (Mortgage Systems),Topicus Vietnam,You'll love it,,Ho Chi Minh
"Chuyên viên Phát triển MIS (Data Analyst/ Engineer, BI)",SACOMBANK,You'll love it,,Ho Chi Minh
Chuyên viên QC (Automation Tester/ QA QC),SACOMBANK,You'll love it,,Ho Chi Minh
Requirements Management Tools DevOps Engineer,Renesas Design Vietnam,You'll love it,,Ho Chi Minh
"Data Engineer (Java, Kafka, Spark, Flink, Hadoop)",Tổng công ty Tân Cảng Sài Gòn (Saigon NewPort Corporation),Thỏa thuận,,Ho Chi Minh
Security Operations Center Analyst (IT Support),Mắt Bão BPO,You'll love it,,Ho Chi Minh
Quản trị hệ thống Cơ sở Dữ liệu (DBA - Database Admin),SACOMBANK,You'll love it,,Ho Chi Minh
CV Quản Trị Hệ Thống/ System Admin (Unix/ Linux),SACOMBANK,You'll love it,,Ho Chi Minh
"Data Analyst (Power BI, SQL, BI Developer, BA)",Tổng công ty Tân Cảng Sài Gòn (Saigon NewPort Corporation),Thỏa thuận,,Ho Chi Minh
AI Workflow Engineer (Node.js / AI Automation),AiClipX,Thỏa thuận,,Ho Chi Minh
Web Developer (PHP & JavaScript),Deliveree On-Demand Logistics,You'll love it,,Ho Chi Minh
Manual Tester (QA QC),DeliGroup,You'll love it,,Ho Chi Minh
Middle/SeniorCloud Infrastructure Engineer (AWS/Kuber),Ngân hàng TMCP Phương Đông | OCB,You'll love it,,Ho Chi Minh
Middle/Senior Database Administrator (DBA),Ngân hàng TMCP Phương Đông | OCB,You'll love it,,Ho Chi Minh
"Senior Backend Developer (Java, Golang, SQL, Database)",10X Technology and Consulting,You'll love it,,Ho Chi Minh
Senior Product Owner – B2B SaaS (ERP / E-Office),MYMIND,You'll love it,,Ho Chi Minh
"Data Engineer (SQL, Agile)",Live Payments,Thỏa thuận,,Ho Chi Minh
"Senior C#/.NET Engineer (ReactJS, English)",HRS Group,You'll love it,,Ho Chi Minh
Senior / Lead AI Engineer (English Speaking),Topicus Vietnam,You'll love it,,Ho Chi Minh
"Data Engineer (Python, PowerBI, SnowFlake, DataBrick)",FPT Digital,You'll love it,,Ho Chi Minh
"Scrum Master (Scrum, Kanban, PSM I/CSM, Cloud, Azure)",FPT Digital,You'll love it,,Ho Chi Minh
"AI Engineer (Generative AI, MLOps, Scikit-learn, Azure)",FPT Digital,You'll love it,,Ho Chi Minh
Senior Business Analyst,New Ocean IS,You'll love it,,Ho Chi Minh
Senior ReactJS Developer,SSTech,You'll love it,,Ho Chi Minh
"Junior Web Developer (Ruby on Rails, ReactJS, VueJS)",Motorist Pte Ltd,Thỏa thuận,,Ho Chi Minh
"Network Platform Developer (Golang, C/C++, Linux)",SkyLab,You'll love it,,Ho Chi Minh
"HO - Business Intelligence Executive (Power BI, SQL)",Ngân Hàng Á Châu | ACB,You'll love it,,Ho Chi Minh
UI/UX Designer,Hitachi Digital Services,You'll love it,,Ho Chi Minh
"Senior Fullstack Engineer (Go, TypeScript, ReactJ)","Gearment Co.,Ltd",You'll love it,,Ho Chi Minh
Manual/Auto Tester QC Engineer (Junior/Middle/Senior),Floating Cube Studios,You'll love it,,Ho Chi Minh
Senior Infrastructure Engineer (System/Networking),Gene Solutions,You'll love it,,Ho Chi Minh
"Fullstack .NET Dev (C#, ReactJS, SQL)",Dory Company Limited,You'll love it,,Ho Chi Minh
Senior / Lead Java Backend Developer (Game),BinarixTech,Thỏa thuận,,Ho Chi Minh
"Middle/Senior Automation QA (SDET, QA, QC, CICD)",YOONG,You'll love it,,Ho Chi Minh
Senior/Lead Data Engineer,GFT Technologies Vietnam,You'll love it,,Ho Chi Minh
Product Manager (Attractive Package),Simple Tech Investment,Thỏa thuận,,Ho Chi Minh
Product Designer,Simple Tech Investment,Thỏa thuận,,Ho Chi Minh
"Firmware Engineer (Embedded Linux, C/C++, ARM)",IriTech Vietnam,You'll love it,,Ho Chi Minh
Product Designer (UX/UI- Remote),Fastboy Marketing,Thỏa thuận,,Ho Chi Minh
"Senior/Lead Software Engineer (Java, Golang, English)",GFT Technologies Vietnam,You'll love it,,Ho Chi Minh
Engineering Manager,TymeX,You'll love it,,Ho Chi Minh
Mid-Senior Backend .NET Developer,Blogic Systems,You'll love it,,Ho Chi Minh
"UI-UX Designer (Figma, Adobe XD)",10X Technology and Consulting,You'll love it,,Ho Chi Minh
Senior Laravel Developer,KOSATEC EMPOWERING GLOBAL INNOVATION,Thỏa thuận,,Ho Chi Minh
IT Support Specialist (US Market),Blogic Systems,Thỏa thuận,,Ho Chi Minh
Manual QA Engineer (QA QC/Tester),Spendora,You'll love it,,Ho Chi Minh
Product Manager ( Logistics B2B SaaS),Spendora,Thỏa thuận,,Ho Chi Minh
Software Developer (.Net),Spendora,You'll love it,,Ho Chi Minh
Senior Platform Engineer,CÔNG TY CỔ PHẦN CHỨNG KHOÁN KAFI,You'll love it,,Ho Chi Minh
QA/Test Engineer,AiClipX,Thỏa thuận,,Ho Chi Minh
Quality Control Specialist (Automation Test/SQL/QA QC),GALAXY HOLDINGS,You'll love it,,Ho Chi Minh
(Senior/Junior) IT Business Analyst,KMS Technology,You'll love it,,Ho Chi Minh
"Fullstack Developer (Remote) (C#, ASP.NET, English)",VCAPTECH,Thỏa thuận,,Ho Chi Minh
Data Engineer,Inbox4us,Thỏa thuận,,Ho Chi Minh
Fullstack - HTML5/CSS/JS/WordPress,"Alive Việt Nam Co., Ltd",You'll love it,,Ho Chi Minh
Security Operations Center Analyst (IT Support),Mắt Bão BPO,You'll love it,,Ho Chi Minh
Senior Data (Engineer | Scientist),DatVietVAC,You'll love it,,Ho Chi Minh
Senior Data Engineer,Zuhlke Engineering Vietnam,Thỏa thuận,,Ho Chi Minh
QA Engineer (Manual & Automation) - 2 Openings,SMG Swiss Marketplace Group,Thỏa thuận,,Ho Chi Minh
"Senior Back-End Developer (Python, AI/ML, Integration)",Simpson Strong-Tie Vietnam,You'll love it,,Ho Chi Minh
"Senior AI Engineer (AIML/CV/OCR, Yolo, Python, Pytorch)",Simpson Strong-Tie Vietnam,You'll love it,,Ho Chi Minh
Frontend Engineer (Junior - Middle | Good English),Spartan Dev Inc,You'll love it,,Ho Chi Minh
Senior - Lead Game Tester,Skylink Studio,Thỏa thuận,,Ho Chi Minh
05 System Admin (Linux),Vietnix,You'll love it,,Ho Chi Minh
DevOps Engineer (Junior/Middle/Senior),Saigon Technology,You'll love it,,Ho Chi Minh
Manual / Automation Tester - Quality Analyst (QA QC),MiTek Vietnam,You'll love it,,Ho Chi Minh
05 Senior/Lead Product Manager ( Fintech),M_Service (MoMo),You'll love it,,Ho Chi Minh
Senior AI Engineer,KOSATEC EMPOWERING GLOBAL INNOVATION,Thỏa thuận,,Ho Chi Minh
[Remote] Data Engineer (Python/ SQL),Công ty TNHH RENDA,You'll love it,,Ho Chi Minh
Middle/ Senior Business Analyst - Up to $3000,Alpaca Vietnam,You'll love it,,Ho Chi Minh
