Job Title,Company,Salary,Experience,City,Skills
Kế Toán/Kiểm Toán Làm Chuyên Viên Kiểm Thử Phần Mềm (QC/Tester),CÔNG TY CỔ PHẦN MISA,Thỏa thuận,1 năm,Hà Nội,IT ...
"Nhân Viên Kinh Doanh ( Thiết Bị CNTT Và Phần Mềm)_ Lương Cứng 10 - 20 Triệu/Tháng - Cầu Giấy, Hà Nội",CÔNG TY CỔ PHẦN THIẾT BỊ VÀ PHÁT TRIỂN CÔNG NGHỆ TRỌNG ĐIỂM,10 - 20 Triệu,1 năm,Hà Nội,B2B
Product Owner (Shopify),TIGREN SOLUTIONS,Thỏa thuận,2 năm,Hà Nội,IT - Phần m...
"Nhân Viên Kỹ Thuật [Hà Nội] - Thu Nhập Cạnh Tranh, Tối Thiểu 2 Năm Kinh Nghiệm",CÔNG TY TNHH THƯƠNG MẠI WATERFLOW,Thỏa thuận,2 năm,Hà Nội,"Thương ..., IT - Phần mềm"
Chuyên Viên Cao Cấp Phân Tích Nghiệp Vụ Rủi Ro Tín Dụng,"Pro
CÔNG TY CP KINH DOANH F88",Thỏa thuận,3 năm,Hà Nội,Ng...
Chuyên Viên Phân Tích Nghiệp Vụ (Business Analyst),"Pro
TỔNG CÔNG TY CỔ PHẦN BẢO HIỂM BƯU ĐIỆN",Thỏa thuận,3 năm,Hà Nội,3 ...
Nhân Viên Phân Tích Nghiệp Vụ (BA),EDUFIT,Thỏa thuận,2 năm,Hà Nội,IT...
QC Mid-Senior,CÔNG TY CỔ PHẦN CÔNG NGHỆ TÀI CHÍNH GOLINE,Thỏa thuận,2 năm,Hà Nội,IT ...
Networks Engineer/Kỹ Sư Mạng - Thu Nhập Upto 20tr (Hà Nội),CÔNG TY TNHH NETMARKS VIỆT NAM,20 Triệu,1 năm,Hà Nội,
Nhân Viên Design Full-Time (Lương Cơ Bản: 8.5 - 12 Triệu + Thưởng),CÔNG TY TNHH TABCOM CARE,5 - 12 Triệu,Dưới 1 năm,Hà Nội,Mỹ thuật...
Senior AI Engineer,CÔNG TY TNHH DIGI-TEXX,Thỏa thuận,3 năm,Hồ Chí Minh (mới),"An ninh mạng, AI Engineer, Điện..., IT - Phần mềm"
Nhân Viên Tư Vấn/ Sale Online/ Chăm Sóc Khách Hàng (Game) - Thu Nhập Hấp Dẫn,CÔNG TY TNHH CNLGAMING,Thỏa thuận,Không yêu cầu,Thỏa thuận,B2C
Designer - Thu Nhập Hấp Dẫn - Ưu Tiên Nam - Làm Việc Tại Quận 02,CÔNG TY CỔ PHẦN MASFICO VIỆT NAM,Thỏa thuận,1 năm,Hồ Chí Minh (mới),Marketin...
"Nhân Viên Kinh Doanh Phần Mềm (Không Yêu Cầu Kinh Nghiệm) - Thu Nhập Hấp Dẫn, Đãi Ngộ Tốt - Quận Thanh Xuân (Hà Nội) - Đi Làm Ngay",CÔNG TY CỔ PHẦN VIỄN THÔNG INTERCOM VIỆT NAM,Thỏa thuận,Không yêu cầu,Thỏa thuận,"Online Sales, Telesales"
Business Analyst,CÔNG TY CỔ PHẦN XÂY DỰNG HẠ TẦNG KỸ THUẬT,Thỏa thuận,2 năm,Hà Nội,IT...
